Year,Relative Humidity,Precipitation,Temperature,Tension
1988,70.9,3.4,13.9,11.3
1989,68,2.7,13.3,10.8
1990,65.3,2.3,14,10.8
1991,71.9,2.4,14.6,12
1992,68.8,2.1,14.9,11.6
1993,67.7,3.7,14.5,11
1994,68.2,3.3,14.5,11.2
1995,66.6,3.1,14.4,10.9
1996,66.8,3.6,14.2,10.6
1997,65.7,3,14.9,11
1998,67.8,2.7,14.9,11.6
1999,71.7,4.1,13.8,11.3
2000,65.9,2.9,13.5,10.5
2001,62.8,2.3,14.6,10.4
2002,63.8,2.9,14.7,10.7
2003,65.8,2.9,14.8,11.1
2004,65.2,2.3,15,11
2005,64.6,2.4,14.6,10.9
2006,66.7,3.4,14.6,11.2
2007,69.1,3,14.9,11.6
2008,70.3,4.1,14.1,11.2
2009,66.3,2.7,15.3,11.3
2010,70.5,2.9,14.9,11.9
2011,73.8,3.6,14.5,12.1
2012,72.5,2.9,14.9,12.4
2013,69.9,2.2,15.2,12.1
2014,70,2.8,15.2,12.1
2015,66.8,2.1,16,12.1
2016,67.8,2.6,15.7,12.1
2017,68.1,4.3,14.9,11.5
2018,73.7,3.2,14.6,11.9
