Year,RelativeHumidity,Precipitation,Temperature,Tension
Y1,70.9,3.4,13.9,11.3
Y2,68,2.7,13.3,10.8
Y3,65.3,2.3,14,10.8
Y4,71.9,2.4,14.6,12
Y5,68.8,2.1,14.9,11.6
Y6,67.7,3.7,14.5,11
Y7,68.2,3.3,14.5,11.2
Y8,66.6,3.1,14.4,10.9
Y9,66.8,3.6,14.2,10.6
Y10,65.7,3,14.9,11
Y11,67.8,2.7,14.9,11.6
Y12,71.7,4.1,13.8,11.3
Y13,65.9,2.9,13.5,10.5
Y14,62.8,2.3,14.6,10.4
Y15,63.8,2.9,14.7,10.7
Y16,65.8,2.9,14.8,11.1
Y17,65.2,2.3,15,11
Y18,64.6,2.4,14.6,10.9
Y19,66.7,3.4,14.6,11.2
Y20,69.1,3,14.9,11.6
Y21,70.3,4.1,14.1,11.2
Y22,66.3,2.7,15.3,11.3
Y23,70.5,2.9,14.9,11.9
Y24,73.8,3.6,14.5,12.1
Y25,72.5,2.9,14.9,12.4
Y26,69.9,2.2,15.2,12.1
Y27,70,2.8,15.2,12.1
Y28,66.8,2.1,16,12.1
Y29,67.8,2.6,15.7,12.1
Y30,68.1,4.3,14.9,11.5
Y31,73.7,3.2,14.6,11.9
